feature,importance_gain,importance_split
recent_dep_cnt_7d,2152648.02636528,557
recency_last_bet_to_t,575663.125492096,425
recent_dep_amt_7d,358481.81841373444,564
recent_withdraw_cnt_7d,313077.7307252884,308
recent_win_amt_7d,250638.05093240738,981
recent_net_cash_in_7d,213431.54539442062,635
recent_withdraw_amt_7d,180675.71332263947,199
recent_bet_cnt_7d,171530.87878227234,541
recent_bet_days_7d,134371.28087377548,335
vip_level_V1,87325.80246973038,220
recent_bet_amt_7d,36351.00260257721,350
vip_level_V4,33502.90838813782,182
recent_ggr_amt_7d,22797.9858584404,328
recent_net_loss_amt_7d,7988.836906909943,88
vip_level_V2,5433.711681365967,83
vip_level_V3,4756.5312304496765,82
vip_level_V5,4179.041422843933,65
vip_level_V6,715.6905646324158,29
vip_level_UNKNOWN,179.63040018081665,15
vip_level_V8,152.48082733154297,6
vip_level_V7,85.19990015029907,7
pre_bet_amt_30d,0.0,0
pre_bet_cnt_30d,0.0,0
pre_bet_days_30d,0.0,0
pre_ggr_amt_30d,0.0,0
pre_net_loss_amt_30d,0.0,0
pre_win_amt_30d,0.0,0
