rows,positives,positive_rate,score_mean,pr_auc,roc_auc,brier,threshold,row_count,positive_count,prevalence,brier_score,precision,recall,f1,predicted_positive_rate,predicted_negative_rate,positive_prediction_count,negative_prediction_count,specificity,negative_predictive_value,true_positive_count,true_negative_count,false_positive_count,false_negative_count,model_name,split,segment_column,segment_value
558380,313318,0.5611196676098714,0.5573636081175567,0.7602996532622808,0.7178505237698102,0.21161704936722495,0.5,558380,313318,0.5611196676098714,0.21161704936722495,0.6977858672644284,0.7133487383425147,0.7054814842872114,0.5736344424943587,0.4263655575056413,320306,238074,0.6049938382939828,0.6227517494560515,223505,148261,96801,89813,lightgbm,test,vip_level,V3
440892,171507,0.3890000272175499,0.39933389552128207,0.566282907526728,0.6723333862406976,0.21656127786177432,0.5,440892,171507,0.3890000272175499,0.21656127786177432,0.5993190343749072,0.3530526450815419,0.4443457841050855,0.22915589305317402,0.7708441069468259,101033,339859,0.8497243721810791,0.673523431776119,60551,228903,40482,110956,lightgbm,test,vip_level,V1
232768,144587,0.6211635620016497,0.6164895505533938,0.8175167130860623,0.7340366323974108,0.19899465301155644,0.5,232768,144587,0.6211635620016497,0.19899465301155644,0.7286397201958119,0.7895868923208864,0.7578899849967471,0.6731208757217487,0.3268791242782513,156681,76087,0.5178439799956907,0.6001550856256653,114164,45664,42517,30423,lightgbm,test,vip_level,V4
164784,83699,0.5079315953005146,0.5186040906671515,0.6865825823793101,0.6882592551338632,0.22333070044161643,0.5,164784,83699,0.5079315953005146,0.22333070044161643,0.6445448268598378,0.6580365356814298,0.651220809932013,0.5185636955044179,0.48143630449558206,85451,79333,0.6254054387371277,0.6392169714998802,55077,50711,30374,28622,lightgbm,test,vip_level,V2
23978,15902,0.6631912586537659,0.6397041138258054,0.8397751609465112,0.7286499002153419,0.19277179083853885,0.5,23978,15902,0.6631912586537659,0.19277179083853885,0.7509571876087713,0.8140485473525343,0.7812311406155703,0.7189089999165902,0.2810910000834098,17238,6740,0.4684249628528975,0.5612759643916914,12945,3783,4293,2957,lightgbm,test,vip_level,V5
2504,1617,0.6457667731629393,0.6234771157411637,0.8325163271829434,0.7448564749257292,0.1917702836041247,0.5,2504,1617,0.6457667731629393,0.1917702836041247,0.7620446533490012,0.8021026592455164,0.7815607110575474,0.6797124600638977,0.32028753993610226,1702,802,0.5434047350620068,0.600997506234414,1297,482,405,320,lightgbm,test,vip_level,V6
741,480,0.6477732793522267,0.5981149172186064,0.8409954279565217,0.7521950830140487,0.19138797825320444,0.5,741,480,0.6477732793522267,0.19138797825320444,0.7770700636942676,0.7625,0.7697160883280757,0.6356275303643725,0.3643724696356275,471,270,0.5977011494252874,0.5777777777777777,366,156,105,114,lightgbm,test,vip_level,V7
663,443,0.6681749622926093,0.6052840961138446,0.8662779230643392,0.766791504206854,0.18373402945098014,0.5,663,443,0.6681749622926093,0.18373402945098014,0.8013856812933026,0.7832957110609481,0.7922374429223744,0.6530920060331825,0.3469079939668175,433,230,0.6090909090909091,0.5826086956521739,347,134,86,96,lightgbm,test,vip_level,V8
123,23,0.18699186991869918,0.21586887229672763,0.15151107350252735,0.3328260869565217,0.15693249314197355,0.5,123,23,0.18699186991869918,0.15693249314197355,0.0,0.0,0.0,0.0,1.0,0,123,1.0,0.8130081300813008,0,100,0,23,lightgbm,test,vip_level,UNKNOWN
887104,496715,0.5599287118534017,0.5526213286648523,0.765076259472139,0.7225557290159582,0.21017005824463164,0.5,887104,496715,0.5599287118534017,0.21017005824463164,0.7016401249352213,0.7059682111472374,0.7037975140843798,0.5633826473558906,0.4366173526441094,499779,387325,0.6180373934716398,0.6229264829277739,350665,241275,149114,146050,lightgbm,train,vip_level,V3
