split,segment_column,segment_value,threshold,row_count,positive_count,prevalence,pr_auc,roc_auc,precision,recall,f1,predicted_positive_rate,predicted_negative_rate,positive_prediction_count,negative_prediction_count,specificity,negative_predictive_value,true_positive_count,true_negative_count,false_positive_count,false_negative_count
test,vip_level,GLOBAL,0.05,1424833,731576,0.5134468390330656,0.7360110082778407,0.7222955031790317,0.5138020262638863,0.9998988485133465,0.6787999703054823,0.9992076264376246,0.0007923735623753814,1423704,1129,0.0015218021599493405,0.9344552701505757,731502,1055,692202,74
test,vip_level,GLOBAL,0.1,1424833,731576,0.5134468390330656,0.7360110082778407,0.7222955031790317,0.5146821237320816,0.9993835226962066,0.6794485233814396,0.996984909810483,0.0030150901895169557,1420537,4296,0.005546283701426744,0.8950186219739292,731125,3845,689412,451
test,vip_level,GLOBAL,0.15,1424833,731576,0.5134468390330656,0.7360110082778407,0.7222955031790317,0.5165335091474759,0.9980904239614202,0.6807592800637706,0.9921260947774231,0.007873905222576916,1413614,11219,0.014167905985803244,0.8754790979588198,730179,9822,683435,1397
test,vip_level,GLOBAL,0.2,1424833,731576,0.5134468390330656,0.7360110082778407,0.7222955031790317,0.5223238958227789,0.9921566590484105,0.6843628724764379,0.9752946485658319,0.024705351434168077,1389632,35201,0.04249939055790277,0.8369932672367262,725838,29463,663794,5738
test,vip_level,GLOBAL,0.25,1424833,731576,0.5134468390330656,0.7360110082778407,0.7222955031790317,0.5335514227494959,0.9760380329589817,0.689944513289514,0.9392602501486139,0.06073974985138608,1338289,86544,0.09955038319122635,0.797444074690331,714046,69014,624243,17530
test,vip_level,GLOBAL,0.3,1424833,731576,0.5134468390330656,0.7360110082778407,0.7222955031790317,0.5510629980933843,0.9442272573184467,0.6959567902167441,0.8797732786930117,0.1202267213069883,1253530,171303,0.18824332101947763,0.761813861987239,690774,130501,562756,40802
test,vip_level,GLOBAL,0.35,1424833,731576,0.5134468390330656,0.7360110082778407,0.7222955031790317,0.578263498796797,0.8862155128106991,0.6998612872756713,0.7868809888597471,0.2131190111402529,1121174,303659,0.31794413904223107,0.7258701372262966,648334,220417,472840,83242
test,vip_level,GLOBAL,0.4,1424833,731576,0.5134468390330656,0.7360110082778407,0.7222955031790317,0.6086439345986723,0.8162227847824423,0.6973130054646085,0.6885585889714795,0.3114414110285205,981081,443752,0.44616210150059793,0.6970222106041212,597129,309305,383952,134447
test,vip_level,GLOBAL,0.45,1424833,731576,0.5134468390330656,0.7360110082778407,0.7222955031790317,0.6470189463197731,0.7279776810611611,0.6851149199422908,0.5776922628827378,0.4223077371172622,823115,601718,0.5809000125494586,0.6692719845509025,532571,402713,290544,199005
test,vip_level,GLOBAL,0.5,1424833,731576,0.5134468390330656,0.7360110082778407,0.7222955031790317,0.6852652144325824,0.640059269303531,0.661891269362799,0.47957550112890424,0.5204244988710958,683315,741518,0.689778826611199,0.6448852219366219,468252,478194,215063,263324
test,vip_level,GLOBAL,0.55,1424833,731576,0.5134468390330656,0.7360110082778407,0.7222955031790317,0.7188149761416418,0.5576167069450064,0.6280371213124244,0.3983035204827513,0.6016964795172487,567516,857317,0.7698155229590181,0.6225001953769725,407939,533680,159577,323637
test,vip_level,GLOBAL,0.6,1424833,731576,0.5134468390330656,0.7360110082778407,0.7222955031790317,0.7502245910503967,0.4760093278073638,0.5824564103121631,0.3257764243248156,0.6742235756751844,464177,960656,0.8327604337208279,0.6009612181675855,348237,577317,115940,383339
