split,segment_column,segment_value,threshold,row_count,positive_count,prevalence,pr_auc,roc_auc,precision,recall,f1,predicted_positive_rate,predicted_negative_rate,positive_prediction_count,negative_prediction_count,specificity,negative_predictive_value,true_positive_count,true_negative_count,false_positive_count,false_negative_count
test,vip_level,V1,0.05,440892,171507,0.3890000272175499,0.566282907526728,0.6723333862406976,0.389830431391454,0.9995685307305241,0.5609076185646278,0.9974392821824846,0.0025607178175154344,439763,1129,0.00391632793214173,0.9344552701505757,171433,1055,268330,74
test,vip_level,V1,0.1,440892,171507,0.3890000272175499,0.566282907526728,0.6723333862406976,0.39179470265417,0.9973703697225186,0.5625889035245674,0.9902561171443347,0.009743882855665298,436596,4296,0.014273252037047348,0.8950186219739292,171056,3845,265540,451
test,vip_level,V1,0.15,440892,171507,0.3890000272175499,0.566282907526728,0.6723333862406976,0.39588166715921597,0.9919420198592477,0.5659100132392173,0.9746990192609528,0.025300980739047185,429737,11155,0.03627893164058875,0.8761093679964141,170125,9773,259612,1382
test,vip_level,V1,0.2,440892,171507,0.3890000272175499,0.566282907526728,0.6723333862406976,0.4080375844470012,0.967744756773776,0.5740388157109729,0.9225932881522005,0.07740671184779946,406764,34128,0.10615290383651652,0.8379043600562588,165975,28596,240789,5532
test,vip_level,V1,0.25,440892,171507,0.3890000272175499,0.566282907526728,0.6723333862406976,0.4276577082118866,0.9153795471904936,0.5829609234156874,0.8326347495531785,0.1673652504468215,367102,73790,0.22004565955788183,0.8033202330939152,156994,59277,210108,14513
test,vip_level,V1,0.3,440892,171507,0.3890000272175499,0.566282907526728,0.6723333862406976,0.45029864078757753,0.8435574058201706,0.5871638568494875,0.7287249485134681,0.27127505148653186,321289,119603,0.34438443120441004,0.7756661622200112,144676,92772,176613,26831
test,vip_level,V1,0.35,440892,171507,0.3890000272175499,0.566282907526728,0.6723333862406976,0.47692023018707325,0.7514037327922476,0.5834936906017812,0.6128825199822179,0.3871174800177821,270215,170677,0.4753085732316202,0.7501948124234665,128871,128041,141344,42636
test,vip_level,V1,0.4,440892,171507,0.3890000272175499,0.566282907526728,0.6723333862406976,0.5065846390464289,0.6452797844985919,0.5675821217016693,0.4955022998829645,0.5044977001170354,218463,222429,0.599855225792082,0.7264880029132892,110670,161592,107793,60837
test,vip_level,V1,0.45,440892,171507,0.3890000272175499,0.566282907526728,0.6723333862406976,0.5478217936058069,0.4981429329415126,0.5218025963397168,0.35372381444888995,0.6462761855511101,155954,284938,0.7382222469699501,0.6979272683882107,85435,198866,70519,86072
test,vip_level,V1,0.5,440892,171507,0.3890000272175499,0.566282907526728,0.6723333862406976,0.5993190343749072,0.3530526450815419,0.4443457841050855,0.22915589305317402,0.7708441069468259,101033,339859,0.8497243721810791,0.673523431776119,60551,228903,40482,110956
test,vip_level,V1,0.55,440892,171507,0.3890000272175499,0.566282907526728,0.6723333862406976,0.6457912665505495,0.24428740517879738,0.35448253688912956,0.14714941527630349,0.8528505847236965,64877,376015,0.9146945821036806,0.6553063042697764,41897,246405,22980,129610
test,vip_level,V1,0.6,440892,171507,0.3890000272175499,0.566282907526728,0.6723333862406976,0.6912466578375271,0.1612937081285312,0.26155649896466626,0.09076826070783775,0.9092317392921623,40019,400873,0.9541325612042244,0.6411731396227733,27663,257029,12356,143844
test,vip_level,V1,0.65,440892,171507,0.3890000272175499,0.566282907526728,0.6723333862406976,0.7304625199362041,0.10147690764808434,0.1781982563110176,0.05404044527911597,0.945959554720884,23826,417066,0.9761605137628302,0.6305069221657963,17404,262963,6422,154103
test,vip_level,V1,0.7,440892,171507,0.3890000272175499,0.566282907526728,0.6723333862406976,0.7627699180938198,0.05972934049339094,0.11078367227758643,0.0304609745697359,0.969539025430264,13430,427462,0.9881730608608497,0.6227430742381779,10244,266199,3186,161263
test,vip_level,V1,0.75,440892,171507,0.3890000272175499,0.566282907526728,0.6723333862406976,0.7983205237688585,0.032704204493111066,0.0628343219460828,0.01593587545249177,0.9840641245475082,7026,433866,0.9947398704456447,0.6176284843707505,5609,267968,1417,165898
test,vip_level,V1,0.8,440892,171507,0.3890000272175499,0.566282907526728,0.6723333862406976,0.8195284159613059,0.015806934993906955,0.031015645110545435,0.007502971249194814,0.9924970287508051,3308,437584,0.9977838409711008,0.61425463453874,2711,268788,597,168796
