rows,positives,positive_rate,score_mean,pr_auc,roc_auc,brier,threshold,row_count,positive_count,prevalence,brier_score,precision,recall,f1,predicted_positive_rate,predicted_negative_rate,positive_prediction_count,negative_prediction_count,specificity,negative_predictive_value,true_positive_count,true_negative_count,false_positive_count,false_negative_count,model_name,split,segment_column,segment_value
558380,313318,0.5611196676098714,0.5559416364942754,0.7426714120020723,0.6995691912353077,0.21848497054539856,0.45,558380,313318,0.5611196676098714,0.21848497054539856,0.6312400358112346,0.8416305478778748,0.7214087959467297,0.748139260002149,0.25186073999785097,417746,140634,0.37139172943989684,0.6471692478348052,263698,91014,154048,49620,logistic_regression,test,vip_level,V3
440892,171507,0.3890000272175499,0.3886258419151474,0.5406057536398882,0.6499895095254349,0.22295565087292987,0.45,440892,171507,0.3890000272175499,0.22295565087292987,0.5786090193393805,0.3153982053210656,0.40825675956150115,0.21204285856853833,0.7879571414314617,93488,347404,0.8537594892068971,0.6620246168725749,54093,229990,39395,117414,logistic_regression,test,vip_level,V1
232768,144587,0.6211635620016497,0.5922097959855807,0.7989271173233442,0.7144957625711555,0.2071078462218436,0.45,232768,144587,0.6211635620016497,0.2071078462218436,0.67991815889914,0.8710741629607088,0.763716406325798,0.795800969205389,0.204199030794611,185237,47531,0.3276215964890396,0.6078138478045907,125946,28890,59291,18641,logistic_regression,test,vip_level,V4
164784,83699,0.5079315953005146,0.5140663860782684,0.6655163130995203,0.6691861491807249,0.22994946993324275,0.45,164784,83699,0.5079315953005146,0.22994946993324275,0.57196947534708,0.8175844394795637,0.6730697354185109,0.7260474317894942,0.27395256821050584,119641,45143,0.3684405253746069,0.661785880424429,68431,29875,51210,15268,logistic_regression,test,vip_level,V2
23978,15902,0.6631912586537659,0.6272926706038287,0.8191375047577117,0.7066008258296279,0.2016825131558096,0.45,23978,15902,0.6631912586537659,0.2016825131558096,0.7072038340572113,0.8908313419695636,0.7884674254863218,0.8353907748769706,0.16460922512302945,20031,3947,0.27377414561664193,0.5601722827463896,14166,2211,5865,1736,logistic_regression,test,vip_level,V5
2504,1617,0.6457667731629393,0.6299002827648749,0.8104513146696649,0.7166457850948107,0.20152207339712194,0.45,2504,1617,0.6457667731629393,0.20152207339712194,0.6926051232479459,0.8862090290661719,0.7775366250678242,0.8262779552715654,0.17372204472843455,2069,435,0.2829763246899662,0.5770114942528736,1433,251,636,184,logistic_regression,test,vip_level,V6
741,480,0.6477732793522267,0.6067512616438157,0.8170692113256368,0.7071120689655173,0.20815247880252485,0.45,741,480,0.6477732793522267,0.20815247880252485,0.715547703180212,0.84375,0.7743785850860421,0.7638326585695007,0.23616734143049933,566,175,0.3831417624521073,0.5714285714285714,405,100,161,75,logistic_regression,test,vip_level,V7
663,443,0.6681749622926093,0.6175169515696851,0.8523665501484979,0.7352760106710445,0.19575951183749038,0.45,663,443,0.6681749622926093,0.19575951183749038,0.728515625,0.8419864559819413,0.7811518324607329,0.7722473604826546,0.22775263951734537,512,151,0.36818181818181817,0.5364238410596026,373,81,139,70,logistic_regression,test,vip_level,V8
123,23,0.18699186991869918,0.16095066848198097,0.1437007175187622,0.3456521739130434,0.16241190358588856,0.45,123,23,0.18699186991869918,0.16241190358588856,0.0,0.0,0.0,0.0,1.0,0,123,1.0,0.8130081300813008,0,100,0,23,logistic_regression,test,vip_level,UNKNOWN
887104,496715,0.5599287118534017,0.5526903358552644,0.7473123305878095,0.7035908790841823,0.21748405062807263,0.45,887104,496715,0.5599287118534017,0.21748405062807263,0.6339935982961431,0.8342067382704368,0.7204489994271015,0.7367523988168242,0.2632476011831758,653576,233528,0.38724451764778206,0.647357062108184,414363,151176,239213,82352,logistic_regression,train,vip_level,V3
745256,291176,0.39070601243062786,0.3832620454187622,0.5478164525945992,0.6616198850097428,0.22213272594213987,0.45,745256,291176,0.39070601243062786,0.22213272594213987,0.589714894750866,0.3040360469269445,0.40121822994090134,0.20143413806799274,0.7985658619320073,150120,595136,0.8643587033121917,0.6594929562318529,88528,392488,61592,202648,logistic_regression,train,vip_level,V1
