threshold,precision,recall,f1,predicted_positive_rate,predicted_negative_rate,positive_prediction_count,negative_prediction_count,specificity,negative_predictive_value,true_positive_count,true_negative_count,false_positive_count,false_negative_count
0.05,0.5242213178901236,0.9999751194267515,0.6878487078555536,0.9999853265574636,1.4673442536361492e-05,613344,9,3.4268051552856755e-06,0.1111111111111111,321528,1,291816,8
0.1,0.5242223305545547,0.9999688992834395,0.6878481080358336,0.9999771746449434,2.2825355056599328e-05,613339,14,1.3707220621142702e-05,0.2857142857142857,321526,4,291813,10
0.15000000000000002,0.5242311147633466,0.9999595690684714,0.6878534623937942,0.9999510885248788,4.891147512120497e-05,613323,30,5.8255687639856484e-05,0.5666666666666667,321523,17,291800,13
0.2,0.5271710968947553,0.9966877736863057,0.6895979635114795,0.9911209368830021,0.008879063116997932,607907,5446,0.015012833385306545,0.8044436283510834,320471,4381,287436,1065
0.25,0.537834112951568,0.9794393162818471,0.6943717140403427,0.9546590625626679,0.04534093743733214,585543,27810,0.07264484248690103,0.762279755483639,314925,21199,270618,6611
0.30000000000000004,0.5492171645253103,0.9536195013933121,0.6970074798795672,0.9102278785625896,0.08977212143741042,558291,55062,0.1375828001795646,0.7291598561621445,306623,40149,251668,14913
0.35000000000000003,0.5681405502403934,0.9118014779060509,0.7000698453254375,0.8413246531768819,0.15867534682311812,516029,97324,0.23632961753427661,0.7086124696888743,293177,68965,222852,28359
0.4,0.6079846236541625,0.8126057424363057,0.69555842174828,0.7006585114933814,0.29934148850661857,429751,183602,0.42268956229417753,0.6718227470288994,261282,123348,168469,60254
0.45,0.6381268725849392,0.7133975666799363,0.6736661874687041,0.586062186049469,0.413937813950531,359463,253890,0.5542411854004393,0.6370357241324983,229383,161737,130080,92153
0.5,0.6926120029990543,0.5717275826035032,0.6263908694563278,0.4327312330745916,0.5672687669254084,265417,347936,0.7204206746008629,0.604223190471811,183831,210231,81586,137705
0.55,0.7395366505988223,0.44804003284235666,0.5580136926607726,0.3175968814043463,0.6824031185956537,194799,418554,0.8261307600311154,0.5759806381016548,144061,241079,50738,177475
0.6000000000000001,0.7757824036583623,0.354554388933121,0.4866815941530928,0.23958633935107515,0.7604136606489249,146951,466402,0.8870901969384922,0.5550319252490341,114002,258868,32949,207534
0.65,0.8043716042962936,0.2790294088375796,0.41433103811357874,0.18184960373553238,0.8181503962644676,111538,501815,0.9252271115116666,0.5380409114912866,89718,269997,21820,231818
0.7000000000000001,0.8274865868757738,0.2182492784633758,0.34539955357692187,0.13826458825505053,0.8617354117449495,84805,528548,0.9498658405781706,0.5244310828912416,70175,277187,14630,251361
0.75,0.8464558890511866,0.16761109175955413,0.27981464415051727,0.10380482364967646,0.8961951763503235,63669,549684,0.9664995528019272,0.5130966155100021,53893,282041,9776,267643
0.8,0.8662175787870336,0.12557536325636942,0.21935140391526256,0.07599701966078262,0.9240029803392174,46613,566740,0.9786304430516385,0.5039012598369623,40377,285581,6236,281159
0.8500000000000001,0.8822005486132277,0.0900210240843949,0.16337139406117185,0.05349284995752854,0.9465071500424714,32810,580543,0.9867553980748208,0.4960046025875775,28945,287952,3865,292591
0.9,0.8976113982399776,0.059955961385350316,0.11240390305906774,0.03501572503925146,0.9649842749607486,21477,591876,0.9924644554635268,0.48932208773459307,19278,289618,2199,302258
0.9500000000000001,0.9108080636964255,0.03344260051751592,0.06451632257561303,0.019248295842687654,0.9807517041573124,11806,601547,0.9963915741714842,0.48336040242907036,10753,290764,1053,310783
