column_name,missing_rows,missing_rate
first_outcome_event_date,2198161,0.4877742502906349
last_outcome_event_date,2198161,0.4877742502906349
treatment_timestamp,1072066,0.23789257902950686
assignment_date,0,0.0
data_version,0,0.0
feature_create_time,0,0.0
feature_snapshot_date,0,0.0
has_sms_treatment,0,0.0
has_voucher_treatment,0,0.0
outcome_distinct_source_keys_3d,0,0.0
outcome_gross_bet_3d_value,0,0.0
outcome_gross_ggr_3d_value,0,0.0
outcome_source_row_count_3d,0,0.0
player_id,0,0.0
pre_bet_amt_30d,0,0.0
pre_bet_cnt_30d,0,0.0
pre_bet_days_30d,0,0.0
pre_ggr_amt_30d,0,0.0
pre_net_loss_amt_30d,0,0.0
pre_win_amt_30d,0,0.0
pt,0,0.0
raw_assignment_event_count,0,0.0
recency_last_bet_to_t,0,0.0
recent_bet_amt_7d,0,0.0
recent_bet_cnt_7d,0,0.0
recent_bet_days_7d,0,0.0
recent_dep_amt_7d,0,0.0
recent_dep_cnt_7d,0,0.0
recent_ggr_amt_7d,0,0.0
recent_net_cash_in_7d,0,0.0
recent_net_loss_amt_7d,0,0.0
recent_win_amt_7d,0,0.0
recent_withdraw_amt_7d,0,0.0
recent_withdraw_cnt_7d,0,0.0
response_label_positive_3d,0,0.0
treatment_flag,0,0.0
vip_level,0,0.0
